borrowers_id,borrower,financier,goal,impagency,url,projectid,projectid,envassesmentcategorycode,goal,lendinginstr,lendinginstrtype,prodline,project_name,status,supplementprojectflg,regioncode,regioncode,regionname,countrycode,countrycode,countryname
923,GOVERNMENT,IBRD42200;IBRD42200,"Corporate Advocacy Priorities;Corporate Advocacy Priorities;CAP;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Global Public Goods Priorities|Millennium Development Goals;CAP|GPG|MDG;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MIN OF ECONOMY",http://projects.worldbank.org/P051694/provincial-reform-project-02-san-juan?lang=en,668,668,U,"Corporate Advocacy Priorities;Corporate Advocacy Priorities;CAP;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Global Public Goods Priorities|Millennium Development Goals;CAP|GPG|MDG;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","Structural Adjustment Loan",AD,PE,"Provincial Reform Project (02) - San Juan",Closed,N,7,7,"Latin America and Caribbean",4,4,Argentina
306,"ARGENTINE REPUBLIC",IBRD46340;IBRD46340,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP","UNDERSECRETARY PROVINCIAL RELATIONS AND PROVINCE OF SANTA FE",http://projects.worldbank.org/P069913/santa-fe-provincial-reform-adjustment-loan?lang=en,726,726,U,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP","Structural Adjustment Loan",AD,PE,"Santa Fe Provincial Reform Adjustment Loan",Closed,N,7,7,"Latin America and Caribbean",4,4,Argentina
591,"PROVINCE OF BUENOS AIRES; ARGENTINA",IBRD45860;IBRD45860,"Corporate Advocacy Priorities;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","DIRECCION GENERAL DE CULTURA Y EDUCACION (DGCYE)",http://projects.worldbank.org/P064614/second-secondary-education-project-province-buenos-aires?lang=en,759,759,C,"Corporate Advocacy Priorities;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","Specific Investment Loan",IN,PE,"Second Secondary Education Project - Province of Buenos Aires",Closed,N,7,7,"Latin America and Caribbean",4,4,Argentina
331,"REPUBLIC OF ARGENTINA",IBRD43130;IBRD43130,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG","PROVINCE OF BA MINISTRY OF EDUCATION",http://projects.worldbank.org/P050714/secondary-education-3?lang=en,764,764,C,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG","Specific Investment Loan",IN,PE,"Secondary Education 3",Closed,N,7,7,"Latin America and Caribbean",4,4,Argentina
863,"SECOF SOCDEVIT (OFFICE OF PRES)",IBRD39570;IBRD39570,"Corporate Advocacy Priorities;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP","MIN OF ECO & SEC OF SOC DEV",http://projects.worldbank.org/P035495/social-protection-project?lang=en,805,805,C,"Corporate Advocacy Priorities;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP","Specific Investment Loan",IN,PE,"Social Protection Project",Closed,N,7,7,"Latin America and Caribbean",4,4,Argentina
608,"REPUBLIC OF ARMENIA",IDA30070;IDA30070,"Corporate Advocacy Priorities;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP;Corporate Advocacy Priorities;CAP","MINISTRY OF EDUCATION AND SCIENCE",http://projects.worldbank.org/P008281/education-financing-management-reform-project?lang=en,223,223,C,"Corporate Advocacy Priorities;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP;Corporate Advocacy Priorities;CAP","Specific Investment Loan",IN,PE,"Education Financing & Management Reform Project",Closed,N,9,9,"Europe and Central Asia",5,5,Armenia
453,"REPUBLIC OF ARMENIA",IBRD83420;IBRD83420;IDA53870,"Corporate Advocacy Priorities|Global Public Goods Priorities;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION AND SCIENCE",http://projects.worldbank.org/P130182/education-quality-project?lang=en,228,228,B,"Corporate Advocacy Priorities|Global Public Goods Priorities;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","Investment Project Financing",IN,PE,"Education Improvement Project",Active,N,9,9,"Europe and Central Asia",5,5,Armenia
276,"GOVERNMENT OF ARMENIA",IDA38490;IDA38490,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG","MINISTRY OF EDUCATION AND SCIENCE",http://projects.worldbank.org/P074503/education-quality-relevance-project-apl-1?lang=en,252,252,C,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG","Adaptable Program Loan",IN,PE,"Education Quality & Relevance Project (APL #1)",Closed,N,9,9,"Europe and Central Asia",5,5,Armenia
493,"REPUBLIC OF ARMENIA",IDA45650;IDA45650,"Corporate Advocacy Priorities|Global Public Goods Priorities;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION AND SCIENCE",http://projects.worldbank.org/P107772/second-education-quality-relevance-apl-2?lang=en,739,739,C,"Corporate Advocacy Priorities|Global Public Goods Priorities;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","Adaptable Program Loan",IN,PE,"Second Education Quality and Relevance (APL 2)",Closed,N,9,9,"Europe and Central Asia",5,5,Armenia
600,"REPUBLIC OF ARMENIA",IDA31530;IDA31530,"Corporate Advocacy Priorities;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP","MINISTRY OF FINANCE AND ECONOMY",http://projects.worldbank.org/P051171/structural-adjustment-credit-3-sac-3?lang=en,828,828,U,"Corporate Advocacy Priorities;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP","Structural Adjustment Loan",AD,PE,"Structural Adjustment Credit 3 (SAC 3)",Closed,N,9,9,"Europe and Central Asia",5,5,Armenia
909,"GOVERNMENT OF THE REPUBLIC OF ARMENIA",IDA37370;IDA37370,"Corporate Advocacy Priorities|Corporate Advocacy Priorities;Corporate Advocacy Priorities|Corporate Advocacy Priorities;CAP|CAP;Corporate Advocacy Priorities;CAP;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF FINANCE",http://projects.worldbank.org/P075758/structural-adjustment-credit-5-sac-5?lang=en,829,829,U,"Corporate Advocacy Priorities|Corporate Advocacy Priorities;Corporate Advocacy Priorities|Corporate Advocacy Priorities;CAP|CAP;Corporate Advocacy Priorities;CAP;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","Structural Adjustment Loan",AD,PE,"Structural Adjustment Credit 5 (SAC 5)",Closed,N,9,9,"Europe and Central Asia",5,5,Armenia
