dates_id,board_approval_month,boardapprovalyear,closingdatemonth,closingdateyear,projectid,projectid,envassesmentcategorycode,goal,lendinginstr,lendinginstrtype,prodline,project_name,status,supplementprojectflg,regioncode,regioncode,regionname,countrycode,countrycode,countryname
870,September,1994,6,2001,167,167,C,"Corporate Advocacy Priorities;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP","Specific Investment Loan",IN,PE,"Decentralization and Improvement of Secondary Education Project",Closed,N,7,7,"Latin America and Caribbean",4,4,Argentina
847,September,2000,3,2006,587,587,C,"Corporate Advocacy Priorities;Corporate Advocacy Priorities;CAP;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP","Sector Adjustment Loan",AD,PE,"PROVINCIAL REFORM ADJUSTMENT LOAN - CATAMARCA",Closed,N,7,7,"Latin America and Caribbean",4,4,Argentina
749,November,2000,3,2006,667,667,U,"Corporate Advocacy Priorities;Corporate Advocacy Priorities;CAP;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP","Structural Adjustment Loan",AD,PE,"Provincial Reform Loan Project - Cordoba",Closed,N,7,7,"Latin America and Caribbean",4,4,Argentina
923,August,1997,6,2000,668,668,U,"Corporate Advocacy Priorities;Corporate Advocacy Priorities;CAP;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Global Public Goods Priorities|Millennium Development Goals;CAP|GPG|MDG;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","Structural Adjustment Loan",AD,PE,"Provincial Reform Project (02) - San Juan",Closed,N,7,7,"Latin America and Caribbean",4,4,Argentina
306,July,2001,3,2006,726,726,U,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP","Structural Adjustment Loan",AD,PE,"Santa Fe Provincial Reform Adjustment Loan",Closed,N,7,7,"Latin America and Caribbean",4,4,Argentina
591,December,2000,9,2008,759,759,C,"Corporate Advocacy Priorities;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","Specific Investment Loan",IN,PE,"Second Secondary Education Project - Province of Buenos Aires",Closed,N,7,7,"Latin America and Caribbean",4,4,Argentina
331,April,1998,12,2002,764,764,C,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG","Specific Investment Loan",IN,PE,"Secondary Education 3",Closed,N,7,7,"Latin America and Caribbean",4,4,Argentina
863,November,1995,12,1998,805,805,C,"Corporate Advocacy Priorities;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP","Specific Investment Loan",IN,PE,"Social Protection Project",Closed,N,7,7,"Latin America and Caribbean",4,4,Argentina
608,November,1997,10,2002,223,223,C,"Corporate Advocacy Priorities;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP;Corporate Advocacy Priorities;CAP","Specific Investment Loan",IN,PE,"Education Financing & Management Reform Project",Closed,N,9,9,"Europe and Central Asia",5,5,Armenia
453,March,2014,9,2021,228,228,B,"Corporate Advocacy Priorities|Global Public Goods Priorities;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","Investment Project Financing",IN,PE,"Education Improvement Project",Active,N,9,9,"Europe and Central Asia",5,5,Armenia
276,January,2004,11,2009,252,252,C,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG","Adaptable Program Loan",IN,PE,"Education Quality & Relevance Project (APL #1)",Closed,N,9,9,"Europe and Central Asia",5,5,Armenia
493,May,2009,11,2015,739,739,C,"Corporate Advocacy Priorities|Global Public Goods Priorities;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","Adaptable Program Loan",IN,PE,"Second Education Quality and Relevance (APL 2)",Closed,N,9,9,"Europe and Central Asia",5,5,Armenia
600,December,1998,6,2001,828,828,U,"Corporate Advocacy Priorities;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP","Structural Adjustment Loan",AD,PE,"Structural Adjustment Credit 3 (SAC 3)",Closed,N,9,9,"Europe and Central Asia",5,5,Armenia
909,March,2003,6,2004,829,829,U,"Corporate Advocacy Priorities|Corporate Advocacy Priorities;Corporate Advocacy Priorities|Corporate Advocacy Priorities;CAP|CAP;Corporate Advocacy Priorities;CAP;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","Structural Adjustment Loan",AD,PE,"Structural Adjustment Credit 5 (SAC 5)",Closed,N,9,9,"Europe and Central Asia",5,5,Armenia
