borrowers_id,borrower,financier,goal,impagency,url,projectid
14,"LEBANON MINISTRY OF FINANCE",IDA59050;IDA59050,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION AND HIGHER EDUCATION",http://projects.worldbank.org/P159470/null?lang=en,686
15,"GOVERNMENT OF MALAWI",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION; SCIENCE AND TECHNOLOGY",http://projects.worldbank.org/P154185/null?lang=en,511
16,"OECS COMMISSION",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","OECS COMMISSION",http://projects.worldbank.org/P158836/null?lang=en,844
17,"UNITED REPUBLIC OF TANZANIA; MINISTRY OF",IDA58500;IDA58500,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION AND VOCATIONAL TRAINING",http://projects.worldbank.org/P153277/null?lang=en,864
18,"SAVE THE CHILDREN CAMBODIA",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","SAVE THE CHILDREN CAMBODIA",http://projects.worldbank.org/P146085/null?lang=en,199
19,"ACCOUNTANT GENERAL'S DEPARTMENT",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG","MINISTRY OF EDUCATION; SCIENCE; AND TECHNOLOGY (MEST)",http://projects.worldbank.org/P155316/null?lang=en,696
20,"FED REPUBLIC OF NIGERIA",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","FED MIN OF EDUCATION AND PARTICIPATING STATES",http://projects.worldbank.org/P157890/null?lang=en,560
21,"ISLAMIC REPUBLIC OF PAKISTAN",IBRD86200;IBRD86200,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","SCHOOL EDUCATION DEPARTMENT",http://projects.worldbank.org/P154524/null?lang=en,604
22,"KINGDOM OF LESOTHO",IDA58200;IDA58200,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION AND TRAINING",http://projects.worldbank.org/P156001/null?lang=en,498
23,"PRCTG MINISTRY OF FINANCE",IDA58060;IDA58060,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION UNITE DE GESTION DE PROJET (UGP)",http://projects.worldbank.org/P152910/null?lang=en,152
24,"DEPARTMENT OF FINANCE",IBRD85840;IBRD85840,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP","DEPARTMENT OF SOCIAL WELFARE AND DEVELOPMENT",http://projects.worldbank.org/P153744/null?lang=en,608
25,"STATE OF PIAUI",IBRD85750;IBRD85750,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Global Public Goods Priorities|Millennium Development Goals;GPG|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP","STATE PLANNING SECRETARIAT",http://projects.worldbank.org/P129342/null?lang=en,610
26,"PREFEITURA DE MANAUS",IBRD85540;IBRD85540,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP;Corporate Advocacy Priorities;CAP","PREFEITURA DE MANAUS",http://projects.worldbank.org/P153203/null?lang=en,58
27,"REPUBLIC OF CHILE",IBRD85510;IBRD85510,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP","MINISTRY OF FINANCE",http://projects.worldbank.org/P154213/null?lang=en,122
28,"PALESTINE LIBERATION ORGANIZATION FOR TH",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION AND HIGHER EDUCATION",http://projects.worldbank.org/P152914/null?lang=en,27
29,"GOVERNMENT OF ECUADOR",IBRD85420;IBRD85420,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTERIO DE EDUCACION",http://projects.worldbank.org/P152096/null?lang=en,848
30,"DOMINICAN REPUBLIC",IBRD85400;IBRD85400,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION",http://projects.worldbank.org/P146831/null?lang=en,846
31,"MINISTRY OF FINANCE; REPUBLIC OF KOSOVO",IDA57260;IDA57260,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP","MINISTRY OF EDUCATION; SCIENCE AND TECHNOLOGY; REPUBLIC OF K",http://projects.worldbank.org/P149005/null?lang=en,483
32,"MINISTRY OF FINANCE",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION (MOE)",http://projects.worldbank.org/P154880/null?lang=en,273
33,"MINISTRY OF EDUCATION",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Global Public Goods Priorities;GPG","MINISTRY OF EDUCATION",http://projects.worldbank.org/P154541/null?lang=en,827
34,"GOVERNMENT OF MOZAMBIQUE",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION OF MOZAMBIQUE",http://projects.worldbank.org/P151185/null?lang=en,529
35,"REPUBLIC OF GUINEA",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP;Corporate Advocacy Priorities;CAP",MEPUEC,http://projects.worldbank.org/P148127/null?lang=en,396
36,"SRI LANKA",IDA56780;IDA56780,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP","MINISTRY OF CHILD DEVELOPMENT AND WOMEN'S AFFAIRS",http://projects.worldbank.org/P151916/null?lang=en,200
37,"MINISTRY OF FINANCE",IBRD85100;IBRD85100,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG","DEPARTMENT OF EDUCATION; XINJIANG UYGUR AUTONOMOUS REGION",http://projects.worldbank.org/P147367/null?lang=en,929
38,"MINISTRY OF EDUCATION",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION",http://projects.worldbank.org/P129555/null?lang=en,416
39,"GOVERNMENT OF INDIA",IDA55780;IDA55780,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","DEPTT OF HRD; GOVERNMENT OF BIHAR",http://projects.worldbank.org/P132665/india-enhancing-teacher-effectiveness-through-ict-bihar?lang=en,460
40,"GOVERNMENT OF THE REPUBLIC OF KENYA",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG","MINISTRY OF EDUCATION SCIENCE AND TECHNOLOGY",http://projects.worldbank.org/P146797/null?lang=en,482
41,"NIGERIA MINISTRY OF FINANCE",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","NIGERIA MINISTRY OF EDUCATION",http://projects.worldbank.org/P143842/null?lang=en,558
42,"LAO PEOPLES DEMOCRATIC REPUBLIC",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION & SPORTS",http://projects.worldbank.org/P149130/null?lang=en,746
43,"ISLAMIC REPUBLIC OF PAKISTAN",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP","EDUCATION AND LITERACY DEPARTMENT; GOVERNMENT OF SINDH",http://projects.worldbank.org/P146451/null?lang=en,789
44,"GOVERNMENT OF PAKISTAN",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","GOVERNMENT OF BALOCHISTAN",http://projects.worldbank.org/P144454/null?lang=en,413
45,"LEBANESE REPUBLIC; MINISTRY OF FINANCE",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION AND HIGHER EDUCATION",http://projects.worldbank.org/P152898/null?lang=en,338
46,"REPUBLIC OF TOGO",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTERE ENSEIGNEMENTS PRIMAIRE SECONDAIRE ET ALPHABETISATI",http://projects.worldbank.org/P146294/null?lang=en,858
47,"PEOPLE'S REPUBLIC OF BANGLADESH",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF PRIMARY AND MASS EDUCATION (MOPME)",http://projects.worldbank.org/P150669/null?lang=en,6
48,"GOVERNMENT OF ARGENTINA",IBRD84520;IBRD84520,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP","MINISTRY OF EDUCATION; SCIENCE AND TECHNOLOGY",http://projects.worldbank.org/P133195/argentina-second-rural-education-improvement-project-promer-ii?lang=en,41
49,"UNITED MEXICAN STATES",IBRD84480;IBRD84480,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","CONSEJO NACIONAL DE FOMENTO EDUCATIVO (CONAFE)",http://projects.worldbank.org/P149858/null?lang=en,521
50,"UNITED MEXICAN STATES",IBRD84460;IBRD84460,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP","SECRETARIAT OF PUBLIC EDUCATION (SEP)",http://projects.worldbank.org/P147185/null?lang=en,522
51,"MINISTRY OF FINANCE",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION",http://projects.worldbank.org/P144856/null?lang=en,453
52,"GOVERNMENT OF UGANDA",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION & SPORTS",http://projects.worldbank.org/P133780/null?lang=en,895
53,"REPUBLIC OF SIERRA LEONE",IDA61070;IDA61070,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG","MINISTRY OF EDUCATION; SCIENCE AND TEHCNOLOGY (MEST)",http://projects.worldbank.org/P133070/null?lang=en,785
54,"GOVERNMENT OF THE REPUBLIC OF TANZANIA",IDA60610;IDA60610;IDA55270,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG","MINISTRY OF EDUCATION",http://projects.worldbank.org/P147486/null?lang=en,863
55,"DEMOCRATIC REPUBLIC OF SAO TOME AND PRIN",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","AFAP MINISTRY OF PLANNING AND FINANCE",http://projects.worldbank.org/P150828/null?lang=en,721
56,"REPUBLIC OF GHANA",IDA54520;IDA54520;IDA61220,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION",http://projects.worldbank.org/P145741/null?lang=en,411
57,"GOVERNMENT OF INDIA",IDA54470;IDA54470;IDA54480,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINITRY OF HUMN RESOURCE DEVELOPMENT",http://projects.worldbank.org/P144447/null?lang=en,459
58,"MINISTRY OF ECONOMY AND FINANCE",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION; YOUTH; AND SPORT",http://projects.worldbank.org/P144715/cambodia-global-partnership-education-second-education-support-project?lang=en,130
59,"MINISTRY OF FINANCE",IDA53700;IDA53700;IDAH9100,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION AND SPORTS",http://projects.worldbank.org/P145544/lao-prd-early-childhood-development-project?lang=en,204
60,"MINISTRY OF FINANCE",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION AND SCIENCE",http://projects.worldbank.org/P132490/null?lang=en,485
61,"GOVERNMENT OF AFGHANISTAN",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP","MINISTRY OF LABOR; SOCIAL AFFAIRS AND MARTYRED AND DISABLED",http://projects.worldbank.org/P146015/null?lang=en,562
62,"REPUBLIC OF BENIN",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF PRIMARY EDUCATION AND EARLY CHILDHOOD",http://projects.worldbank.org/P129600/null?lang=en,112
63,"REPUBLIC OF THE PHILIPPINES",IBRD83440;IBRD83440,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","DEPARTMENT OF EDUCATION",http://projects.worldbank.org/P118904/national-program-support-basic-education-2?lang=en,496
64,"REPUBLIC OF DJIBOUTI",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION AND TVET",http://projects.worldbank.org/P145323/null?lang=en,19
65,"THE GOVERNMENT OF CAMEROON",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF BASIC EDUCATION",http://projects.worldbank.org/P133338/cameroon--equity-quality-improved-learning-project?lang=en,119
66,"GOVERNEMENT OF MAURITANIA",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","DEPARTEMENT PROJETS EDUCATION ET FORMATION (DPEF)",http://projects.worldbank.org/P126902/mauritania-basic-education-sector-support-project-bessp?lang=en,516
67,"UNITED MEXICAN STATES",IBRD83140;IBRD83140,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","SECRETARIAT OF PUBLIC EDUCATION (SEP)",http://projects.worldbank.org/P147244/null?lang=en,891
68,"THE PEOPLE'S REPUBLIC OF BANGLADESH",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION",http://projects.worldbank.org/P146255/null?lang=en,776
69,"STATE OF CEARA; BRAZIL",IBRD83020;IBRD83020,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Global Public Goods Priorities|Millennium Development Goals;GPG|MDG;Global Public Goods Priorities|Corporate Advocacy Priorities|Global Public Goods Priorities|Millennium Development Goals;GPG|CAP|GPG|MDG","SECRETARIAT OF PLANNING AND MANAGEMENT; STATE OF CEARA",http://projects.worldbank.org/P127463/null?lang=en,826
70,"FEDERAL DEMOCRATIC REPUBLIC OF ETHIOPIA",IDA53150;IDA53150,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION",http://projects.worldbank.org/P129828/ethiopia-general-education-quality-improvement-project-ii?lang=en,356
71,"MINISTRY OF FINANCE AND BUDGET (MFB)",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION",http://projects.worldbank.org/P132616/null?lang=en,350
72,"LAO PEOPLES DEMOCRATIC REPUBLIC",IDA53010;IDA53010;IDAH8810,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Millennium Development Goals|Corporate Advocacy Priorities;MDG|CAP;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP;Global Public Goods Priorities|Millennium Development Goals;GPG|MDG;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF FINANCE",http://projects.worldbank.org/P143025/lao-pdr-ninth-poverty-reduction-support-operation?lang=en,492
73,"GOVERNMENT OF ANGOLA",IDA52540;IDA52540,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION",http://projects.worldbank.org/P122700/angola-learning-all-project?lang=en,37
74,"MINISTRY OF FINANCE",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION",http://projects.worldbank.org/P131441/null?lang=en,412
75,"REPUBLIC OF CHAD",IDAD2160;IDAD2160;IDAH8620,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG","REPUBLIC OF CHAD",http://projects.worldbank.org/P132617/chad-learning-all?lang=en,137
76,"MUNICIPALITY OF RIO DE JANEIRO",IBRD82710;IBRD82710,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP;Global Public Goods Priorities|Millennium Development Goals;GPG|MDG",,http://projects.worldbank.org/P127245/rio-de-janeiro-strengthening-public-sector-management-technical-assistance-project?lang=en,701
77,MOROCCO,IBRD82660;IBRD82660,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP","MINISTRY OF EDUCATION",http://projects.worldbank.org/P120541/second-education-development-policy-loan?lang=en,737
78,"MINISTRY OF ECONOMY AND FINANCE",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Millennium Development Goals;MDG","MINISTRY OF BASIC EDUCATION",http://projects.worldbank.org/P123503/mali-emergency-education-all-project?lang=en,514
79,,,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG",,http://projects.worldbank.org/P125610/nepal-school-sector-reform-program-additional-financing?lang=en,552
80,"MINISTERE DE L'EDUCATION PRIMAIRE SECOND",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","SECRETAIRE GENERAL (MEPSP)",http://projects.worldbank.org/P131120/zr-support-basic-education-program?lang=en,935
81,"REPUBLIC OF NICARAGUA",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION",http://projects.worldbank.org/P133557/education-sector-strategy-support-project?lang=en,303
82,"GOVERNMENT OF SUDAN",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG","MINISTRY OF GENERAL EDUCATION",http://projects.worldbank.org/P128644/sudan-basic-education-recovery-project?lang=en,833
83,"FEDERAL GOVERNMENT OF NIGERIA",IDA58480;IDA58480;IDA52200,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG","FEDERAL AND STATE MINISTRIES OF EDUCATION",http://projects.worldbank.org/P122124/nigeria-state-education-program-investment-project?lang=en,557
84,"ISLAMIC REPUBLIC OF PAKISTAN",IDA52180;IDA52180,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP","EDUCATION AND LITERACY DEPARTMENT; GOVERNMENT OF SINDH",http://projects.worldbank.org/P125952/pakistan-second-sindh-education-sector-project?lang=en,600
85,"KYRGYZ REPUBLIC",IDAH8360;IDAH8360;IDA52300,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION AND SCIENCE",http://projects.worldbank.org/P113350/education-swapsector-support-program?lang=en,780
86,"SOCIALIST REPUBLIC OF VIETNAM",IDA52070;IDA52070,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION AND TRAINING",http://projects.worldbank.org/P117393/vietnam-school-readiness-promotion-project?lang=en,918
87,"REPUBLIC OF MOLDOVA",IDA61810;IDA61810;IDA51960,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION",http://projects.worldbank.org/P127388/moldova-education-reform-project?lang=en,524
88,"REPUBLIC OF PERU",IBRD82260;IBRD82260,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION",http://projects.worldbank.org/P123151/pe-basic-education?lang=en,86
89,"SOCIALIST REPUBLIC OF VIETNAM",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION AND TRAINING",http://projects.worldbank.org/P120867/vietnam-global-partnership-education-vietnam-escuela-nueva-project?lang=en,919
